,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19,Z_20,Z_21,Z_22,Z_23,Z_24,Z_25,Z_26,Z_27,Z_28,Z_29,Z_30,Z_31,Z_32
31,-5.2640837e-05,-2.1013191e-11,3.107032e-05,2.8178815e-06,3.3255656e-06,3.817604e-10,-6.8528e-05,4.8324234e-11,0.0012514659,-5.4189765e-12,6.287326e-11,-8.994584e-06,-0.0018387124,-1.6296781e-12,1.2446735e-05,0.0007569329,5.6930016e-12,-2.2760474e-11,-3.6653444e-05,1.9146549e-11,2.0011314e-05,1.0848211e-11,-3.403331e-11,1.7818129e-05,0.0001735883,-4.196841e-05,6.166071e-05,-3.2969183e-12,3.9361145e-12,-7.672129e-06,-3.4304823e-05,5.9504324e-05
32,-5.2640837e-05,-2.0998758e-11,3.107032e-05,2.816693e-06,3.3255653e-06,3.8244252e-10,-6.8528e-05,4.8326454e-11,0.0012514659,-5.4230804e-12,6.2515326e-11,-8.994584e-06,-0.0018387124,-1.6296019e-12,1.244673e-05,0.0007569329,5.7722715e-12,-2.2756609e-11,-3.6653444e-05,1.9146615e-11,2.0011314e-05,1.0766055e-11,-3.40362e-11,1.7818124e-05,0.0001735883,-4.196841e-05,6.166107e-05,-3.2969183e-12,5.2359445e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
33,-5.2640837e-05,-2.1002977e-11,3.107032e-05,2.8170368e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325788e-11,0.0012514659,-5.4219376e-12,6.2618355e-11,-8.994584e-06,-0.0018387124,-1.6296233e-12,1.24467315e-05,0.0007569329,5.749179e-12,-2.2757636e-11,-3.6653444e-05,1.9146596e-11,2.0011314e-05,1.0788259e-11,-3.4035372e-11,1.7818125e-05,0.0001735883,-4.196841e-05,6.166097e-05,-3.2969183e-12,4.8729467e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
34,-5.2640837e-05,-2.1087354e-11,3.1070325e-05,2.819615e-06,3.3255658e-06,3.7880454e-10,-6.8528e-05,4.831091e-11,0.0012514659,-5.443344e-12,6.9834805e-11,-8.994584e-06,-0.0018387124,-1.6301555e-12,1.2446822e-05,0.0007569329,5.1534332e-12,-2.2706892e-11,-3.6653444e-05,1.9146087e-11,2.0011312e-05,1.1575185e-11,-3.4010877e-11,1.7818164e-05,0.0001735883,-4.196841e-05,6.165841e-05,-2.728484e-12,2.4859958e-12,-7.672134e-06,-3.4304823e-05,5.9504324e-05
35,-5.2640837e-05,-2.0993651e-11,3.107032e-05,2.8162672e-06,3.325565e-06,3.8244252e-10,-6.8528e-05,4.8327342e-11,0.0012514659,-5.424642e-12,6.238654e-11,-8.994584e-06,-0.0018387124,-1.6295751e-12,1.2446728e-05,0.0007569329,5.8008043e-12,-2.2755013e-11,-3.6653444e-05,1.914664e-11,2.0011314e-05,1.0736301e-11,-3.4037263e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.1661194e-05,-3.2969183e-12,5.7124054e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
36,-5.2640837e-05,-2.1012081e-11,3.107032e-05,2.8178147e-06,3.3255656e-06,3.8198777e-10,-6.8528e-05,4.8324456e-11,0.0012514659,-5.419369e-12,6.284573e-11,-8.994584e-06,-0.0018387124,-1.629673e-12,1.2446734e-05,0.0007569329,5.6972205e-12,-2.2760044e-11,-3.6653444e-05,1.9146554e-11,2.0011314e-05,1.084155e-11,-3.4033523e-11,1.7818127e-05,0.0001735883,-4.196841e-05,6.1660736e-05,-3.2969183e-12,4.0455053e-12,-7.672129e-06,-3.4304823e-05,5.9504324e-05
37,-5.2640837e-05,-2.1032287e-11,3.107032e-05,2.819304e-06,3.3255658e-06,3.8130565e-10,-6.8528e-05,4.832157e-11,0.0012514659,-5.414081e-12,6.3325345e-11,-8.994584e-06,-0.0018387124,-1.6297708e-12,1.2446741e-05,0.0007569329,5.5885296e-12,-2.2765081e-11,-3.6653444e-05,1.9146464e-11,2.0011314e-05,1.0950352e-11,-3.4029512e-11,1.7818134e-05,0.0001735883,-4.196841e-05,6.166027e-05,-3.1832315e-12,2.4463981e-12,-7.67213e-06,-3.4304823e-05,5.9504324e-05
38,-5.2640837e-05,-2.10032e-11,3.107032e-05,2.8170623e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325788e-11,0.0012514659,-5.4218865e-12,6.2623684e-11,-8.994584e-06,-0.0018387124,-1.6296253e-12,1.24467315e-05,0.0007569329,5.7479577e-12,-2.275766e-11,-3.6653444e-05,1.9146596e-11,2.0011314e-05,1.079048e-11,-3.403533e-11,1.7818125e-05,0.0001735883,-4.196841e-05,6.166096e-05,-3.2969183e-12,4.8493683e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
39,-5.2640837e-05,-2.100542e-11,3.107032e-05,2.8172833e-06,3.3255653e-06,3.8221515e-10,-6.8528e-05,4.8325344e-11,0.0012514659,-5.421304e-12,6.2685857e-11,-8.994584e-06,-0.0018387124,-1.6296387e-12,1.2446732e-05,0.0007569329,5.7329697e-12,-2.2758035e-11,-3.6653444e-05,1.9146584e-11,2.0011314e-05,1.0803358e-11,-3.4034844e-11,1.7818125e-05,0.0001735883,-4.196841e-05,6.1660896e-05,-3.2969183e-12,4.6442546e-12,-7.672128e-06,-3.4304823e-05,5.9504324e-05
40,-5.2640837e-05,-2.101097e-11,3.107032e-05,2.81769e-06,3.3255653e-06,3.8198777e-10,-6.8528e-05,4.8324678e-11,0.0012514659,-5.4197506e-12,6.281464e-11,-8.994584e-06,-0.0018387124,-1.6296643e-12,1.2446734e-05,0.0007569329,5.704881e-12,-2.2759607e-11,-3.6653444e-05,1.914656e-11,2.0011314e-05,1.0833112e-11,-3.403378e-11,1.7818127e-05,0.0001735883,-4.196841e-05,6.166077e-05,-3.2969183e-12,4.1810236e-12,-7.672129e-06,-3.4304823e-05,5.9504324e-05
41,-5.2640837e-05,-2.1127544e-11,3.1070325e-05,2.8196177e-06,3.3255658e-06,3.7721293e-10,-6.8528e-05,4.830336e-11,0.0012514659,-5.46634e-12,7.46212e-11,-8.994584e-06,-0.0018387124,-1.6304354e-12,1.2446883e-05,0.0007569329,4.819478e-12,-2.2662122e-11,-3.6653444e-05,1.914581e-11,2.0011312e-05,1.2021051e-11,-3.399675e-11,1.7818184e-05,0.0001735883,-4.196841e-05,6.165702e-05,-2.2737368e-12,2.850881e-12,-7.672138e-06,-3.4304823e-05,5.9504324e-05
42,-5.2640837e-05,-2.101852e-11,3.107032e-05,2.8183395e-06,3.3255656e-06,3.8153303e-10,-6.8528e-05,4.8323345e-11,0.0012514659,-5.4175223e-12,6.300738e-11,-8.994584e-06,-0.0018387124,-1.6297074e-12,1.2446737e-05,0.0007569329,5.6622484e-12,-2.2761733e-11,-3.6653444e-05,1.9146525e-11,2.0011314e-05,1.0877965e-11,-3.4032232e-11,1.781813e-05,0.0001735883,-4.196841e-05,6.166057e-05,-3.1832315e-12,3.463803e-12,-7.672129e-06,-3.4304823e-05,5.9504324e-05
43,-5.2640837e-05,-2.0993651e-11,3.107032e-05,2.816271e-06,3.325565e-06,3.8244252e-10,-6.8528e-05,4.8327342e-11,0.0012514659,-5.4246304e-12,6.238832e-11,-8.994584e-06,-0.0018387124,-1.6295752e-12,1.2446728e-05,0.0007569329,5.8006933e-12,-2.275502e-11,-3.6653444e-05,1.914664e-11,2.0011314e-05,1.0736301e-11,-3.4037252e-11,1.7818122e-05,0.0001735883,-4.196841e-05,6.1661194e-05,-3.2969183e-12,5.7091233e-12,-7.672127e-06,-3.4304823e-05,5.9504324e-05
44,-5.2640837e-05,-2.1098456e-11,3.1070325e-05,2.8195823e-06,3.3255658e-06,3.783498e-10,-6.8528e-05,4.8308912e-11,0.0012514659,-5.4496173e-12,7.1190165e-11,-8.994584e-06,-0.0018387124,-1.6302333e-12,1.2446839e-05,0.0007569329,5.0647264e-12,-2.2693913e-11,-3.6653444e-05,1.914601e-11,2.0011312e-05,1.17057475e-11,-3.4007026e-11,1.7818169e-05,0.0001735883,-4.196841e-05,6.1658e-05,-2.6147973e-12,2.5965523e-12,-7.672135e-06,-3.4304823e-05,5.9504324e-05
45,-5.2640837e-05,-2.1013191e-11,3.107032e-05,2.8178472e-06,3.3255656e-06,3.817604e-10,-6.8528e-05,4.8324234e-11,0.0012514659,-5.419022e-12,6.2867045e-11,-8.994584e-06,-0.0018387124,-1.6296749e-12,1.2446735e-05,0.0007569329,5.6935567e-12,-2.2760557e-11,-3.6653444e-05,1.9146549e-11,2.0011314e-05,1.0845991e-11,-3.403332e-11,1.7818129e-05,0.0001735883,-4.196841e-05,6.166073e-05,-3.2969183e-12,3.9719616e-12,-7.672129e-06,-3.4304823e-05,5.9504324e-05
